หมวดที่ 1: สินทรัพย์ (Assets),,,
42-1102,ดอกเบี้ยเงินฝาก,,ดอกเบี้ยรับจากบัญชีธนาคารของกิจการ
42-1103,ค่าปรับชำระล่าช้า,,กรณีขายเชื่อแล้วลูกค้าจ่ายเงินเกินกำหนด
42-1104,รายได้จากการหักค่าจ้าง (ขาด ลา มาสาย),,เงินที่หักจากพนักงานตามระเบียบวินัย
หมวดที่ 5: ค่าใช้จ่าย (Expenses),,,
เลขบัญชี,ชื่อบัญชี,,หมายเหตุ
51-0000,ต้นทุนขาย,,
51-1101,ต้นทุนมือถือ (ใหม่),,
51-1102,ต้นทุนมือถือ (มือสอง),,
52-0000,ค่าใช้จ่ายในการขาย,,
52-1101,ค่าคอมฯ นาย,,
52-1102,ค่าคอมฯ พนักงาน,,
52-1103,ค่าส่งเสริมการขาย,,ใช้กรณีโฆษณา
52-1104,ค่าบริการส่ง SMS,,
52-1105,ส่วนลดไม่จ่ายเศษสตางค์,,กรณีลดให้ลูกค้าเพื่อปัดเศษลง
53-0000,ค่าใช้จ่ายในการบริหาร,,
53-11XX,กลุ่มค่าใช้จ่ายเกี่ยวกับบุคลากรและสวัสดิการ,,
53-1101,เงินเดือน ค่าจ้าง,,
53-1102,เงินสมทบประกันสังคม และกองทุนทดแทน,,
53-1103,ค่าล่วงเวลา,,
53-1104,โบนัส,,
53-1105,ค่าอบรม สัมมนา,,
53-1106,ค่าสวัสดิการอาหาร เครื่องดื่ม,,
53-12XX,กลุ่มวัสดุสิ้นเปลืองและอุปกรณ์สำนักงาน,,
53-1201,ค่าเครื่องเขียน วัสดุสำนักงาน,,
53-1202,ค่าเครื่องเขียนแบบพิมพ์ (วัสดุสำนักงาน เช่น หมึก กระดาษ ซอง เทปใส),,
53-1203,อากรแสตมป์,,
53-13XX,ค่าใช้จ่ายด้านสถานที่/สาธารณูปโภค,,
53-1301,ค่าน้ำ,,
53-1302,ค่าไฟฟ้า,,
53-1303,ค่าโทรศัพท์สำนักงาน,,
53-1304,ค่าไปรษณีย์ และขนส่ง,,
53-1305,ค่าซ่อมแซมฯ,,
53-14XX,ค่าจ้างบริการวิชาชีพ (Professional Fees),,
53-1401,ค่าบริการบัญชี,,
53-1402,ค่าบริการ AI,,
53-1403,ค่าจ้างเขียนโปรแกรม,,
53-1404,ค่าบริการโปรแกรมสำเร็จรูป,,
53-1405,ค่าจ้างทนาย,,
53-15XX,ค่าธรรมเนียมและค่าใช้จ่ายเบ็ดเตล็ด,,
53-1501,ค่าธรรมเนียมธนาคาร,,
53-1502,ค่าธรรมเนียมราชการ,,
53-1503,ขาดทุน(กำไร)จากการปัดเศษ,,"ป็นยอดผลต่าง ""สุทธิ"" ที่เกิดจากการทำงานหน้างาน หรือการคำนวณภาษีที่กรมสรรพากรให้ปัดเศษทิ้ง"
53-16XX,ค่าเสื่อม,,
53-1601,ค่าเสื่อมราคา - อุปกรณ์สำนักงาน,,
53-1602,ค่าเสื่อมราคา - ส่วนปรับปรุงอาคาร,,
53-1603,ค่าเสื่อมราคา - เครื่องตกแต่งสำนักงาน,,
53-1604,ค่าเสื่อมราคา - ยานพาหนะ,,
54-0000,ค่าใช้จ่ายอื่น / รายจ่ายต้องห้ามทางภาษี,,
54-1101,คชจ.ทางภาษี ภงด.3,,ส่วนที่บริษัทนำส่งสรรพากร
54-1102,คชจ.ทางภาษี ภงด.53,,ส่วนที่บริษัทนำส่งสรรพากร
54-1103,คชจ.ทางภาษี ภ.พ.30,,
54-1104,เบี้ยปรับเงินเพิ่ม,,รายจ่ายต้องห้าม (บวกกลับ 100%)
